Player,KO,Yds,Yds.1,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Matt Bosher,105,6781,905,65,0.619,40,22.6,0,0,0,0
Wil Lutz,93,5693,898,49,0.527,40,22.5,4,1,1,0
Stephen Gostkowski,93,5961,771,52,0.559,40,19.3,0,0,1,0
Dustin Hopkins,92,5790,534,65,0.707,25,21.4,2,0,1,1
Josh Lambo,91,5762,473,67,0.736,20,23.7,2,0,2,0
Dan Bailey,91,5827,746,57,0.626,33,22.6,1,0,0,0
Pat McAfee,89,5697,825,49,0.551,39,21.2,1,1,0,0
Mason Crosby,89,5608,1080,46,0.517,41,26.3,2,0,1,1
Sebastian Janikowski,88,5630,896,43,0.489,45,19.9,0,0,0,0
Caleb Sturgis,87,5439,712,46,0.529,38,18.7,3,0,0,0
Cairo Santos,86,5394,843,48,0.558,35,24.1,2,0,1,0
Stephen Hauschka,86,5477,642,54,0.628,31,20.7,1,0,0,0
Graham Gano,86,5495,399,63,0.733,22,18.1,1,0,0,0
Chandler Catanzaro,83,5220,671,52,0.627,29,23.1,2,0,1,1
Ryan Succop,82,5117,452,58,0.707,20,22.6,3,0,2,0
Justin Tucker,80,5072,540,52,0.65,26,20.8,1,0,1,0
Chris Boswell,80,5049,639,49,0.613,26,24.6,2,0,3,0
Brandon McManus,79,4869,440,51,0.646,24,18.3,3,1,1,0
Roberto Aguayo,79,4993,568,52,0.658,24,23.7,3,0,0,0
Sam Martin,78,4817,462,52,0.667,22,21.0,3,0,1,0
Jason Myers,76,4670,261,60,0.789,12,21.8,4,0,2,0
Nick Novak,74,4467,1102,23,0.311,46,24.0,4,1,1,1
Andrew Franks,74,4768,632,43,0.581,31,20.4,0,0,0,0
Nick Folk,70,4425,665,39,0.557,29,22.9,1,0,0,1
Dan Carpenter,69,4154,815,28,0.406,38,21.4,3,0,1,0
Connor Barth,64,3971,768,26,0.406,35,21.9,3,1,0,0
Mike Nugent,63,3970,780,28,0.444,34,22.9,1,0,0,0
Greg Zuerlein,59,3794,430,36,0.61,22,19.5,1,0,0,0
Cody Parkey,57,3512,379,34,0.596,19,19.9,3,1,2,0
Robbie Gould,43,2704,540,19,0.442,22,24.5,1,0,1,0
Blair Walsh,41,2569,549,19,0.463,21,26.1,1,0,1,1
Phil Dawson,41,2328,687,4,0.098,35,19.6,2,0,1,0
Kai Forbath,38,2363,431,19,0.5,17,25.4,2,1,0,0
Bradley Pinion,31,1992,182,20,0.645,9,20.2,0,0,1,0
Josh Brown,24,1485,146,15,0.625,8,18.3,0,0,1,0
Randy Bullock,23,1450,194,14,0.609,9,21.6,0,0,0,0
Jordan Gay,14,875,133,7,0.5,7,19.0,0,0,0,0
Matt Wile,7,455,0,7,1.0,0,0.0,0,0,0,0
Patrick Murray,7,463,103,4,0.571,3,34.3,0,0,0,0
Matt Prater,2,116,32,1,0.5,1,32.0,0,0,0,0
Brian Peters,2,123,33,0,0.0,2,16.5,0,0,0,0
Riley Dixon,2,100,86,0,0.0,2,43.0,0,0,0,1
Britton Colquitt,2,125,28,0,0.0,2,14.0,0,0,0,0
Bryan Anger,2,122,15,0,0.0,1,15.0,0,0,1,0
Brad Wing,1,67,23,0,0.0,1,23.0,0,0,0,0
Colton Schmidt,1,45,51,0,0.0,1,51.0,0,0,0,0
Jon Ryan,1,65,12,0,0.0,1,12.0,0,0,0,0
Pat O'Donnell,1,51,9,0,0.0,1,9.0,0,0,0,0
Brad Nortman,1,54,12,0,0.0,1,12.0,0,0,0,0
Andy Lee,1,71,18,0,0.0,1,18.0,0,0,0,0
Sam Koch,1,65,19,0,0.0,1,19.0,0,0,0,0
Brett Kern,1,59,10,0,0.0,1,10.0,0,0,0,0
Drew Kaser,1,60,31,0,0.0,1,31.0,0,0,0,0
Kevin Huber,1,64,16,0,0.0,1,16.0,0,0,0,0
