Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Jameis Winston,5109,8.2,626,380,0.607,33,30,84.3,243,0.388,75,13,71,47,282
Dak Prescott,4902,8.2,596,388,0.651,30,11,99.7,229,0.384,68,16,62,23,151
Jared Goff,4638,7.4,626,394,0.629,22,16,86.5,220,0.351,72,6,66,22,170
Philip Rivers,4615,7.8,591,390,0.66,23,20,88.5,217,0.367,57,12,84,34,222
Matt Ryan,4466,7.3,616,408,0.662,26,14,92.1,228,0.37,47,5,93,48,316
Russell Wilson,4110,8.0,516,341,0.661,31,5,106.3,190,0.368,55,10,60,48,319
Tom Brady,4057,6.6,613,373,0.608,24,8,88.0,193,0.315,60,6,59,27,185
Derek Carr,4054,7.9,513,361,0.704,21,8,100.8,191,0.372,54,10,75,29,184
Carson Wentz,4039,6.7,607,388,0.639,27,7,93.1,213,0.351,52,6,53,37,230
Patrick Mahomes,4031,8.3,484,319,0.659,26,5,105.3,176,0.364,50,15,83,17,127
Aaron Rodgers,4002,7.0,569,353,0.62,26,4,95.4,189,0.332,52,12,74,36,284
Jimmy Garoppolo,3978,8.4,476,329,0.691,27,13,102.0,193,0.405,61,8,75,36,237
Deshaun Watson,3852,7.8,495,333,0.673,26,12,98.0,191,0.386,47,10,54,44,257
Baker Mayfield,3827,7.2,534,317,0.594,22,21,78.8,179,0.335,57,9,89,40,285
Kyler Murray,3722,6.9,542,349,0.644,20,12,87.4,173,0.319,47,10,88,48,309
Kirk Cousins,3603,8.1,444,307,0.691,26,6,107.4,165,0.372,52,11,66,28,206
Ryan Fitzpatrick,3529,7.0,502,311,0.62,20,13,85.5,182,0.363,43,6,51,40,209
Andy Dalton,3494,6.6,528,314,0.595,16,14,78.3,170,0.322,41,6,66,37,249
Kyle Allen,3322,6.8,489,303,0.62,17,16,80.0,188,0.384,35,5,52,46,397
Gardner Minshew,3271,7.0,470,285,0.606,21,6,91.2,150,0.319,43,6,70,33,184
Mitchell Trubisky,3138,6.1,516,326,0.632,17,10,83.0,156,0.302,35,2,53,38,234
Lamar Jackson,3127,7.8,401,265,0.661,36,6,113.3,161,0.401,42,8,83,23,106
Josh Allen,3089,6.7,461,271,0.588,20,9,85.3,146,0.317,47,7,53,38,237
Daniel Jones,3027,6.6,459,284,0.619,24,12,87.7,140,0.305,39,7,75,38,295
Sam Darnold,3024,6.9,441,273,0.619,19,13,84.3,147,0.333,40,6,92,33,212
Drew Brees,2979,7.9,378,281,0.743,27,4,116.3,159,0.421,37,7,61,12,89
Jacoby Brissett,2942,6.6,447,272,0.609,18,6,88.0,143,0.32,32,3,50,27,159
