Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Tom Brady,5316,7.4,719,485,0.675,43,12,102.1,269,0.374,75,10,62,22,144
Justin Herbert,5014,7.5,672,443,0.659,38,15,97.7,256,0.381,53,15,72,31,214
Matthew Stafford,4886,8.1,601,404,0.672,41,17,102.9,233,0.388,65,18,79,30,243
Patrick Mahomes,4839,7.4,658,436,0.663,37,13,98.5,260,0.395,58,11,75,28,146
Derek Carr,4804,7.7,626,428,0.684,23,14,94.0,217,0.347,67,10,61,40,241
Joe Burrow,4611,8.9,520,366,0.704,34,14,108.3,202,0.388,60,15,82,51,370
Dak Prescott,4449,7.5,596,410,0.688,37,10,104.2,227,0.381,55,7,51,30,144
Josh Allen,4407,6.8,646,409,0.633,36,15,92.2,234,0.362,51,8,61,26,164
Kirk Cousins,4221,7.5,561,372,0.663,33,7,103.1,192,0.342,60,10,64,28,197
Aaron Rodgers,4115,7.7,531,366,0.689,37,4,111.9,213,0.401,55,10,75,30,188
Matt Ryan,3968,7.1,560,375,0.67,20,12,90.4,195,0.348,44,7,64,40,274
Jimmy Garoppolo,3810,8.6,441,301,0.683,20,12,98.7,172,0.39,54,8,83,29,201
Mac Jones,3801,7.3,521,352,0.676,22,13,92.5,177,0.34,52,6,75,28,241
Kyler Murray,3787,7.9,481,333,0.692,24,10,100.6,172,0.358,49,9,77,31,286
Ben Roethlisberger,3740,6.2,605,390,0.645,22,10,86.8,188,0.311,39,9,59,38,239
Ryan Tannehill,3734,7.0,531,357,0.672,21,14,89.6,192,0.362,35,7,57,47,327
Trevor Lawrence,3641,6.0,602,359,0.596,12,17,71.9,177,0.294,43,5,58,32,238
Carson Wentz,3563,6.9,516,322,0.624,27,7,94.6,165,0.32,42,9,76,32,227
Taylor Heinicke,3419,6.9,494,321,0.65,20,15,85.9,167,0.338,40,6,73,38,278
Jared Goff,3245,6.6,494,332,0.672,19,8,91.5,162,0.328,39,3,63,35,280
Jalen Hurts,3144,7.3,432,265,0.613,16,9,87.2,143,0.331,44,5,91,26,150
Russell Wilson,3113,7.8,400,259,0.648,25,6,103.1,135,0.338,45,10,69,33,266
Teddy Bridgewater,3052,7.2,426,285,0.669,18,7,94.9,146,0.343,33,5,64,31,211
Baker Mayfield,3010,7.2,418,253,0.605,17,13,83.1,143,0.342,42,9,71,43,269
Lamar Jackson,2882,7.5,382,246,0.644,16,13,87.0,135,0.353,41,5,49,38,190
Davis Mills,2664,6.8,394,263,0.668,16,10,88.8,118,0.299,31,5,67,31,206
Tua Tagovailoa,2653,6.8,388,263,0.678,16,10,90.1,137,0.353,30,6,65,20,152
Sam Darnold,2527,6.2,406,243,0.599,9,13,71.9,123,0.303,30,4,63,35,204
Daniel Jones,2428,6.7,361,232,0.643,10,7,84.8,116,0.321,24,5,54,22,160
Zach Wilson,2334,6.1,383,213,0.556,9,11,69.7,112,0.292,32,5,54,44,370
Justin Fields,1870,6.9,270,159,0.589,7,10,73.2,83,0.307,28,4,64,36,264
Andy Dalton,1515,6.4,236,149,0.631,8,9,76.9,83,0.352,11,3,60,18,143
Jacoby Brissett,1283,5.7,225,141,0.627,5,4,78.1,69,0.307,15,2,52,18,132
Jameis Winston,1170,7.3,161,95,0.59,14,3,102.8,56,0.348,11,4,72,11,69
Trevor Siemian,1154,6.1,188,108,0.574,11,3,88.4,61,0.324,15,1,46,9,64
Tyler Huntley,1081,5.8,188,122,0.649,3,4,76.6,55,0.293,11,1,43,18,107
Taysom Hill,978,7.3,134,78,0.582,4,5,75.4,43,0.321,14,2,70,9,64
Tyrod Taylor,966,6.4,150,91,0.607,5,5,76.7,44,0.293,13,3,52,13,119
Mike White,953,7.2,132,88,0.667,5,8,75.1,49,0.371,11,0,28,4,18
Mike Glennon,790,4.7,167,90,0.539,4,10,49.7,43,0.257,5,1,60,9,72
Drew Lock,787,7.1,111,67,0.604,2,2,80.4,32,0.288,13,2,44,9,52
Colt McCoy,740,7.5,99,74,0.747,3,1,101.4,39,0.394,11,2,50,6,40
Geno Smith,702,7.4,95,65,0.684,5,1,103.0,31,0.326,11,2,84,13,117
Cam Newton,684,5.4,126,69,0.548,4,5,64.4,32,0.254,5,1,64,10,83
Josh Johnson,638,7.5,85,57,0.671,5,2,99.0,39,0.459,5,0,54,3,23
Trey Lance,603,8.5,71,41,0.577,5,2,97.3,27,0.38,8,3,76,4,15
Tim Boyle,526,5.6,94,61,0.649,3,6,63.5,28,0.298,8,1,42,0,0
Case Keenum,462,6.4,72,47,0.653,3,1,91.3,25,0.347,4,0,34,5,29
Gardner Minshew,439,7.3,60,41,0.683,4,1,104.8,24,0.4,7,0,36,5,31
Cooper Rush,422,9.0,47,30,0.638,3,1,105.1,18,0.383,5,2,73,3,19
Jordan Love,411,6.6,62,36,0.581,2,3,68.7,22,0.355,6,1,62,3,23
P.J. Walker,362,5.5,66,36,0.545,1,3,56.5,19,0.288,1,0,24,7,47
Joe Flacco,338,8.0,42,27,0.643,3,0,113.0,14,0.333,6,1,62,2,13
Mason Rudolph,277,4.8,58,35,0.603,1,1,70.8,16,0.276,2,0,36,0,0
Nick Foles,250,7.1,35,24,0.686,1,0,98.5,14,0.4,1,0,30,4,21
Brian Hoyer,227,20.6,11,9,0.818,1,0,149.1,8,0.727,6,2,48,0,0
Jake Fromm,210,3.5,60,27,0.45,1,3,38.9,10,0.167,2,0,36,6,33
Garrett Gilbert,194,6.3,31,20,0.645,0,0,81.9,8,0.258,2,1,46,2,20
Sean Mannion,189,5.3,36,22,0.611,1,0,84.1,8,0.222,2,0,30,2,15
Brandon Allen,149,4.4,34,17,0.5,2,0,81.6,5,0.147,2,0,26,4,33
Nick Mullens,147,4.9,30,20,0.667,1,0,89.2,9,0.3,1,0,25,0,0
Ian Book,135,6.8,20,12,0.6,0,2,40.6,5,0.25,1,1,56,8,54
Kyle Allen,120,6.3,19,12,0.632,0,0,81.0,6,0.316,0,0,19,2,5
Ced Wilson,88,29.3,3,3,1.0,0,0,118.8,3,1.0,3,0,35,0,0
Chad Henne,82,5.1,16,11,0.688,0,0,80.7,6,0.375,0,0,17,0,0
Tom Kennedy,75,75.0,1,1,1.0,1,0,158.3,1,1.0,1,1,75,0,0
Blaine Gabbert,67,8.4,8,7,0.875,0,0,101.6,4,0.5,1,0,23,1,10
Jacob Eason,50,5.0,10,4,0.4,0,2,16.7,4,0.4,0,0,30,0,0
Tyler Boyd,46,46.0,1,1,1.0,0,0,118.8,1,1.0,1,1,46,0,0
Jakobi Meyers,45,22.5,2,2,1.0,0,0,118.8,1,0.5,1,0,30,0,0
Mitchell Trubisky,43,5.4,8,6,0.75,0,1,47.4,2,0.25,0,0,15,0,0
Jack Fox,38,19.0,2,2,1.0,0,0,118.8,2,1.0,1,0,21,0,0
Chris Streveler,36,4.0,9,6,0.667,0,0,74.3,1,0.111,0,0,17,2,17
Justin Jefferson,35,11.7,3,2,0.667,0,0,106.2,2,0.667,1,0,24,0,0
Christian Kirk,33,33.0,1,1,1.0,0,0,118.8,1,1.0,1,0,33,0,0
C.J. Beathard,33,16.5,2,2,1.0,0,0,118.8,1,0.5,1,0,28,0,0
Kendrick Bourne,25,25.0,1,1,1.0,1,0,158.3,1,1.0,1,0,25,0,0
Deebo Samuel,24,12.0,2,1,0.5,1,0,133.3,1,0.5,1,0,24,0,0
Chris Banjo,23,23.0,1,1,1.0,0,0,118.8,1,1.0,1,0,23,0,0
Kadarius Toney,19,9.5,2,1,0.5,0,0,83.3,1,0.5,0,0,19,0,0
Josh Rosen,19,1.7,11,2,0.182,0,2,0.0,1,0.091,0,0,14,0,0
Tommy Townsend,16,16.0,1,1,1.0,0,0,118.8,1,1.0,0,0,16,0,0
Courtland Sutton,16,16.0,1,1,1.0,0,0,118.8,1,1.0,0,0,16,0,0
Dante Pettis,16,16.0,1,1,1.0,0,0,118.8,1,1.0,0,0,16,0,0
Ryan Fitzpatrick,13,2.2,6,3,0.5,0,0,56.3,0,0.0,0,0,6,1,2
Matthias Farley,6,6.0,1,1,1.0,0,0,91.7,1,1.0,0,0,6,0,0
John Wolford,5,1.3,4,1,0.25,0,1,0.0,0,0.0,0,0,5,1,8
Kellen Mond,5,1.7,3,2,0.667,0,0,70.1,0,0.0,0,0,6,0,0
Derrick Henry,5,5.0,1,1,1.0,1,0,127.1,1,1.0,0,0,5,0,0
Marcus Mariota,4,2.0,2,1,0.5,0,0,56.3,0,0.0,0,0,4,0,0
Ezekiel Elliott,4,4.0,1,1,1.0,0,0,83.3,0,0.0,0,0,4,0,0
Greg Ward,2,1.0,2,1,0.5,0,0,56.3,0,0.0,0,0,2,0,0
Johnny Hekker,2,2.0,1,1,1.0,0,0,79.2,0,0.0,0,0,2,0,0
Kendall Hinton,1,1.0,1,1,1.0,0,0,79.2,0,0.0,0,0,1,0,0
